,City,Id,country,lat,lng,Cloudiness,humidity,temperature,wind_speed
500,Gold Coast,2165087,AU,-28,153.4333,40,72,71.92,4
501,Haines Junction,5969025,CA,60.7522,-137.5108,62,41,57.15,3.44
502,Shache,1280037,CN,38.4167,77.2406,37,15,70.74,7.07
503,Mâncio Lima,3663516,BR,-7.6142,-72.8958,20,62,87.87,0
504,Port Hedland,2063042,AU,-20.3167,118.5667,19,39,64.45,9.22
505,Tashtyp,1490036,RU,52.7939,89.8983,100,84,50.14,3.58
506,Henties Bay,3356832,NA,-22.116,14.2845,1,90,54.86,6.46
507,Dicabisagan,1715015,PH,17.0818,122.4157,99,84,80.46,3.29
508,Ushtobe,1517637,KZ,45.2514,77.9838,22,32,52.09,5.32
509,Molchanovo,1498493,RU,57.5817,83.7692,58,97,34.2,7.31
510,Ceres,5335650,US,37.5949,-120.9577,1,31,79.02,17.27
511,Leh,1264976,IN,34.1667,77.5833,0,37,57.81,3.36
512,Husavik,2629833,IS,66.0449,-17.3389,99,87,46.31,5.08
513,Mossamedes,3347019,AO,-15.1961,12.1522,16,84,61.05,4.72
514,Waingapu,1622318,ID,-9.6567,120.2641,100,77,79.9,10.85
515,Hobyo,57000,SO,5.3505,48.5268,95,82,77.04,25.23
516,Palimbang,1696105,PH,6.2106,124.1894,100,89,76.41,5.12
517,Thabazimbi,949683,ZA,-24.5917,27.4116,0,43,62.94,6.85
518,Platonovka,509104,RU,52.7106,41.952,100,80,45.07,22.1
519,Pechora,511794,RU,65.1472,57.2244,24,87,33.4,12.3
520,Minsk,625144,BY,53.9,27.5667,100,96,42.55,13.31
521,San Jose,5392171,US,37.3394,-121.895,40,46,75.36,4
522,Deputatsky,2028164,RU,69.3,139.9,98,91,19.74,6.2
523,Ichihara,2112664,JP,35.5167,140.0833,63,67,70.38,10.38
524,Tessalit,2449893,ML,20.1986,1.0114,0,11,90.72,8.79
525,Beyneu,610298,KZ,45.3167,55.2,100,47,59.56,12.03
526,Moroni,921772,KM,-11.7022,43.2551,3,80,73.33,14.63
527,Asău,686090,RO,46.4333,26.4,44,98,48.96,4.09
